city,region,year,month,temp,temp_max,temp_min,precip,wind,radiation
Manaus,Norte,2019,6,26.966666666666665,29.63,24.6,159.8,12.863333333333333,16.825333333333333
Manaus,Norte,2019,7,27.270967741935483,30.35483870967742,24.52258064516129,97.8,12.741935483870968,18.62290322580645
Manaus,Norte,2019,8,28.06451612903226,31.8,24.683870967741935,53.8,12.174193548387096,19.69741935483871
Manaus,Norte,2019,9,28.970000000000002,32.77,25.65,103.1,11.826666666666666,19.698333333333334
Manaus,Norte,2019,10,27.53548387096774,30.5,25.154838709677417,119.7,11.05483870967742,18.458064516129035
Manaus,Norte,2019,11,27.426666666666666,30.083333333333332,25.243333333333332,158.5,11.8,16.164333333333335
Manaus,Norte,2019,12,26.83225806451613,29.31935483870968,24.851612903225806,263.8,12.009677419354839,15.862903225806452
Manaus,Norte,2020,1,27.40967741935484,30.37741935483871,25.029032258064515,167.2,12.709677419354838,18.298709677419353
Manaus,Norte,2020,2,27.341379310344827,30.224137931034484,25.13103448275862,120.8,13.379310344827585,17.60448275862069
Manaus,Norte,2020,3,27.561290322580643,30.38064516129032,25.309677419354838,279.7,12.661290322580646,18.049354838709675
Manaus,Norte,2020,4,26.473333333333336,29.09,24.373333333333335,268.0,10.74,15.675999999999998
Manaus,Norte,2020,5,26.532258064516128,29.05483870967742,24.574193548387097,278.9,10.922580645161291,15.761935483870968
Manaus,Norte,2020,6,26.706666666666667,29.31,24.336666666666666,103.9,11.993333333333334,16.93433333333333
Manaus,Norte,2020,7,27.509677419354837,30.796774193548387,24.48709677419355,41.6,11.990322580645161,19.503225806451614
Manaus,Norte,2020,8,28.738709677419354,32.732258064516124,25.048387096774192,19.7,12.248387096774193,20.40838709677419
Manaus,Norte,2020,9,28.933333333333334,32.656666666666666,25.62,70.9,12.2,20.123
Manaus,Norte,2020,10,28.219354838709677,31.26451612903226,25.738709677419354,63.6,10.577419354838709,19.48032258064516
Manaus,Norte,2020,11,27.236666666666668,29.80666666666667,25.133333333333333,169.2,11.636666666666667,16.406333333333333
Manaus,Norte,2020,12,26.519354838709678,29.01290322580645,24.419354838709676,226.70000000000002,11.393548387096773,16.588387096774195
Manaus,Norte,2021,1,26.029032258064515,28.551612903225806,23.932258064516127,213.0,11.887096774193548,16.500967741935487
Manaus,Norte,2021,2,26.353571428571428,28.928571428571427,24.400000000000002,234.0,12.782142857142857,16.14142857142857
Manaus,Norte,2021,3,25.712903225806453,28.23225806451613,23.870967741935484,338.5,11.606451612903227,14.798387096774194
Manaus,Norte,2021,4,26.276666666666664,28.726666666666667,24.303333333333335,277.9,10.67,15.988
Manaus,Norte,2021,5,26.470967741935485,29.04516129032258,24.32903225806452,159.8,10.529032258064515,16.28
Manaus,Norte,2021,6,26.59333333333333,29.19333333333333,24.32,106.39999999999999,11.066666666666666,17.113666666666667
Manaus,Norte,2021,7,26.541935483870965,29.461290322580645,23.98709677419355,78.39999999999999,11.429032258064517,17.961290322580645
Manaus,Norte,2021,8,27.516129032258064,30.870967741935484,24.6,82.9,10.806451612903226,19.234193548387097
Manaus,Norte,2021,9,27.636666666666667,30.873333333333335,24.916666666666668,57.8,10.893333333333334,19.676
Manaus,Norte,2021,10,28.02258064516129,31.316129032258065,25.183870967741935,89.0,11.887096774193548,19.825161290322583
Manaus,Norte,2021,11,26.876666666666665,29.53666666666667,24.703333333333333,189.79999999999998,12.036666666666667,17.328
Manaus,Norte,2021,12,26.52258064516129,29.08709677419355,24.451612903225808,265.9,10.612903225806452,16.548709677419353
Manaus,Norte,2022,1,26.506451612903227,29.43548387096774,24.312903225806455,218.2,13.422580645161291,17.80354838709677
Manaus,Norte,2022,2,25.892857142857142,28.478571428571428,23.942857142857143,281.3,12.507142857142856,16.33142857142857
Manaus,Norte,2022,3,25.929032258064513,28.648387096774194,23.896774193548385,322.7,12.3,16.636451612903226
Manaus,Norte,2022,4,26.173333333333336,28.92,24.013333333333332,204.5,12.113333333333333,17.538999999999998
Manaus,Norte,2022,5,26.374193548387098,29.154838709677417,23.96451612903226,160.4,12.187096774193549,17.42258064516129
Manaus,Norte,2022,6,25.966666666666665,28.96333333333333,23.506666666666668,134.3,12.226666666666667,18.240000000000002
Manaus,Norte,2022,7,27.41290322580645,30.87741935483871,24.345161290322583,37.9,13.46774193548387,19.73225806451613
Manaus,Norte,2022,8,28.103225806451615,32.19032258064516,24.641935483870967,34.0,13.258064516129032,20.767419354838708
Manaus,Norte,2022,9,29.373333333333335,33.59,25.529999999999998,30.7,12.993333333333334,21.968666666666664
Manaus,Norte,2022,10,28.370967741935484,32.08064516129032,25.23225806451613,79.5,13.55483870967742,20.49258064516129
Manaus,Norte,2022,11,27.60666666666667,31.32,24.716666666666665,82.6,12.28,19.204333333333334
Manaus,Norte,2022,12,26.52258064516129,29.509677419354837,24.051612903225806,227.9,12.399999999999999,18.194193548387098
Manaus,Norte,2023,1,25.693548387096776,28.316129032258065,23.661290322580644,236.29999999999998,11.925806451612903,16.910645161290322
Manaus,Norte,2023,2,25.907142857142855,28.710714285714285,23.639285714285712,269.0,12.942857142857141,17.930714285714284
Manaus,Norte,2023,3,26.519354838709678,29.44516129032258,24.309677419354838,218.8,13.874193548387098,18.66
Manaus,Norte,2023,4,26.726666666666667,29.496666666666666,24.526666666666664,163.0,11.44,18.432666666666666
Manaus,Norte,2023,5,26.9741935483871,29.758064516129032,24.770967741935483,197.6,12.961290322580645,17.684838709677418
Manaus,Norte,2023,6,26.966666666666665,29.95,24.376666666666665,71.6,13.606666666666666,18.887333333333334
Manaus,Norte,2023,7,28.370967741935484,32.00322580645162,24.996774193548386,29.9,13.406451612903227,20.43967741935484
Manaus,Norte,2023,8,29.580645161290324,33.71612903225807,25.96451612903226,15.3,13.503225806451614,21.559032258064516
Manaus,Norte,2023,9,29.89333333333333,34.163333333333334,25.990000000000002,26.4,14.683333333333334,22.191666666666666
Manaus,Norte,2023,10,30.467741935483872,34.79354838709677,26.75483870967742,38.9,13.16451612903226,22.180967741935483
Manaus,Norte,2023,11,29.496666666666666,33.309999999999995,26.31,52.2,13.370000000000001,20.820333333333334
Manaus,Norte,2023,12,27.60967741935484,30.348387096774193,25.42258064516129,157.2,12.551612903225807,17.480645161290322
Manaus,Norte,2024,1,27.874193548387098,31.04516129032258,25.40967741935484,123.6,13.470967741935485,19.846129032258066
Manaus,Norte,2024,2,28.06551724137931,31.36551724137931,25.396551724137932,237.1,14.251724137931035,21.122413793103448
Manaus,Norte,2024,3,27.4,30.138709677419353,25.148387096774194,182.0,14.151612903225805,18.16
Manaus,Norte,2024,4,27.243333333333332,30.066666666666666,25.183333333333334,159.8,11.24,18.140333333333334
Manaus,Norte,2024,5,27.12258064516129,29.72258064516129,25.093548387096774,150.9,13.093548387096773,16.79064516129032
Manaus,Norte,2024,6,27.383333333333333,30.459999999999997,24.776666666666664,65.5,13.243333333333334,19.285333333333334
Manaus,Norte,2024,7,28.138709677419353,31.719354838709677,25.02258064516129,38.199999999999996,13.77741935483871,20.16290322580645
Manaus,Norte,2024,8,29.283870967741933,33.41612903225807,25.53548387096774,18.400000000000002,14.52258064516129,21.49741935483871
Manaus,Norte,2024,9,30.553333333333335,35.06333333333334,26.59,14.5,14.68,21.84
Manaus,Norte,2024,10,29.616129032258065,33.70645161290323,25.967741935483872,71.3,12.864516129032259,21.748387096774195
Manaus,Norte,2024,11,28.85,32.24,25.976666666666667,59.9,11.943333333333333,20.865333333333336
Manaus,Norte,2024,12,27.519354838709678,30.6,25.335483870967742,225.7,10.929032258064517,18.90774193548387
Porto Alegre,Sul,1980,1,23.916129032258063,29.241935483870968,19.325806451612905,142.3,17.82903225806452,25.22451612903226
Porto Alegre,Sul,1980,2,24.70689655172414,29.33448275862069,20.817241379310346,76.2,17.02413793103448,21.61689655172414
Porto Alegre,Sul,1980,3,25.574193548387097,30.019354838709678,22.206451612903226,103.3,14.861290322580645,17.243225806451612
Porto Alegre,Sul,1980,4,21.896666666666665,27.013333333333332,17.753333333333334,105.5,14.620000000000001,15.140666666666668
Porto Alegre,Sul,1980,5,18.70967741935484,22.700000000000003,15.332258064516129,135.6,13.432258064516128,9.58516129032258
Porto Alegre,Sul,1980,6,13.843333333333334,18.80666666666667,9.613333333333333,129.1,16.53666666666667,9.602
Porto Alegre,Sul,1980,7,13.067741935483872,17.97741935483871,8.429032258064517,170.7,15.264516129032257,10.03516129032258
Porto Alegre,Sul,1980,8,14.97741935483871,20.0,10.393548387096773,82.7,14.903225806451612,12.230645161290322
Porto Alegre,Sul,1980,9,14.393333333333334,19.473333333333336,9.986666666666668,87.0,17.763333333333332,15.716000000000001
Porto Alegre,Sul,1980,10,18.916129032258063,23.41290322580645,14.741935483870968,157.2,17.509677419354837,17.366129032258065
Porto Alegre,Sul,1980,11,20.39333333333333,25.17,16.28666666666667,155.4,17.316666666666666,21.46333333333333
Porto Alegre,Sul,1980,12,23.10967741935484,27.403225806451612,19.616129032258065,117.0,19.190322580645162,21.510645161290324
Porto Alegre,Sul,1981,1,24.406451612903226,29.112903225806452,20.51290322580645,70.3,18.44193548387097,23.799032258064514
Porto Alegre,Sul,1981,2,25.603571428571428,30.085714285714285,22.021428571428572,118.1,16.310714285714287,20.348214285714285
Porto Alegre,Sul,1981,3,22.470967741935485,27.248387096774195,18.283870967741933,45.3,16.66774193548387,18.743225806451612
Porto Alegre,Sul,1981,4,20.303333333333335,24.57,16.696666666666665,131.4,17.0,13.851333333333335
Porto Alegre,Sul,1981,5,19.55483870967742,24.42258064516129,15.612903225806452,29.8,13.341935483870968,11.293225806451613
Porto Alegre,Sul,1981,6,12.836666666666668,17.033333333333335,9.293333333333333,95.7,16.806666666666665,8.459
